Brain region,PV [mm^-3],std PV [mm^-3],SST [mm^-3],std SST [mm^-3],VIP [mm^-3],std VIP [mm^-3],Rest inh. [mm^-3],std Rest inh. [mm^-3],GAD67 [mm^-3],std GAD67 [mm^-3],Non inh. [mm^-3],std Non inh. [mm^-3],Neuron [mm^-3],Volumes [mm^3]
"Main olfactory bulb, granule layer",456.9296188,124.4857089,2787.269347,15.44133624,472.284829,0,124153.7447,14768.7933,127870.2285,14541.8121,124153.7447,14541.8121,599441.2344,5.216875
"Main olfactory bulb, inner plexiform layer",189.5397251,53.28302178,2232.665175,229.7255613,1713.011675,60.76665166,75239.77239,0,79374.98896,0,75239.77239,0,498595.0362,1.07496875
"Main olfactory bulb, mitral layer",302.8799247,14.90176326,3031.27878,36.89779671,3133.687705,39.49003612,189309.9294,29347.84528,195777.7758,29483.64107,189309.9294,29483.64107,455948.7395,0.963328125
"Main olfactory bulb, outer plexiform layer",0,568.1058612,6455.288976,480.7138948,1913.513633,1269.554936,0.002763802,187.7112056,8368.805373,2201.418405,0.002763802,2201.418405,100530.9233,5.199015625
Accessory olfactory bulb,144.7800429,0,2545.181852,135.9533889,1614.588292,12.49782495,61543.69895,580.8749859,65848.24913,411.8814334,61543.69895,411.8814334,275569.0795,0.6880625
"Accessory olfactory bulb, glomerular layer",469.6002239,7.413020021,5251.916608,564.4235683,5258.043768,461.3616345,64296.96936,1698.299355,75276.52996,1471.503692,64296.96936,1471.503692,118510.5504,0.140953125
"Accessory olfactory bulb, granular layer",13.1859975,3.837980439,1191.706807,64.29463941,403.1909035,23.0879655,72736.14497,1479.869323,74344.22867,1453.275269,72736.14497,1453.275269,564809.837,0.1703125
"Accessory olfactory bulb, mitral layer",210.611493,0,1965.140455,89.29211557,833.0923024,52.36539223,50233.25549,953.5938126,53242.09974,1040.773493,50233.25549,1040.773493,195256.46,0.141578125
Anterior olfactory nucleus,584.0268688,16.77870145,4291.991236,37.51867621,941.4226602,32.65297526,17301.76604,113.8386302,23119.2068,154.6621148,17301.76604,154.6621148,58677.34613,4.3064375
"Anterior olfactory nucleus, dorsal part",393.3713427,1.007451681,4906.675272,373.4084425,650.3831219,0,7012.497559,350.1314313,12962.9273,253.399598,7012.497559,253.399598,85844.17724,0.317796875
"Anterior olfactory nucleus, external part",2118.202817,0,2612.112405,0,1020.624848,105.3818768,32397.59704,812.4789125,38148.53711,745.7307235,32397.59704,745.7307235,116509.8188,0.284625
"Anterior olfactory nucleus, lateral part",406.4144663,23.69731811,3867.481629,238.5305784,622.4123891,23.92388902,16537.66118,396.9399221,21433.96966,418.9937886,16537.66118,418.9937886,104179.3566,0.721265625
"Anterior olfactory nucleus, medial part",195.4622462,31.0597608,6915.996691,403.9957159,1282.692948,178.0162508,22451.50571,535.610907,30845.6576,602.9789169,22451.50571,602.9789169,61340.25818,0.722390625
"Anterior olfactory nucleus, posteroventral part",839.711335,6.016947925,8390.558992,74.98707722,1049.347603,44.88238836,33623.01931,290.4172171,43902.63724,0,33623.01931,0,43902.65481,0.70890625
"Anterior olfactory nucleus, layer 1",572.9596272,54.57884575,1850.52499,0,942.8561953,92.11122787,8377.678427,278.032035,11744.01924,229.5739921,8377.678427,229.5739921,23800.93382,1.3221875
Taenia tecta,247.288585,0,4689.108682,0,1502.915944,0,27631.41558,0,34070.72879,0,27631.41558,0,71851.77079,1.734078125
"Taenia tecta, dorsal part",260.4809004,0,5841.32809,0,1644.52469,0,25921.47893,0,33667.81261,0,25921.47893,0,76459.22615,1.257078125
"Taenia tecta, dorsal part, layer 1",215.5824671,4.751483127,1521.697033,356.4247505,2236.764147,30.15046457,23825.77524,0,27799.81889,0,23825.77524,0,27799.81889,0.402328125
"Taenia tecta, dorsal part, layer 2",339.1169972,75.20068099,5850.84769,42.86874488,1762.615348,0,27494.98141,683.8077085,35447.56145,692.9155403,27494.98141,692.9155403,129232.6842,0.420671875
"Taenia tecta, dorsal part, layer 3",0,74.22738385,9117.230492,807.8159342,1087.767405,34.17841447,25238.78931,863.8611951,35443.7872,692.8470467,25238.78931,692.8470467,64117.97172,0.329625
"Taenia tecta, dorsal part, layer 4",938.727003,169.2580999,12103.32462,865.4552489,644.7375693,0,29810.91607,1015.881393,43497.70527,850.2880607,29810.91607,850.2880607,90290.54529,0.104453125
"Taenia tecta, ventral part",212.5217693,0,1652.568192,0,1129.722533,0,32137.75511,0,35132.56761,0,32137.75511,0,59709.35709,0.477
"Taenia tecta, ventral part, layer 1",0,0.883874801,1229.20008,191.1694089,266.9286605,70.54899442,28336.22886,0,29832.3576,0,28336.22886,0,29832.3576,0.2343125
"Taenia tecta, ventral part, layer 2",176.6896548,63.42647262,0,274.4414763,2166.259654,66.65842774,41527.91193,1207.76546,43870.86124,857.5850083,41527.91193,857.5850083,115688.6299,0.163234375
"Taenia tecta, ventral part, layer 3",912.8786136,82.00162432,6296.266933,972.2252327,1544.620001,272.9258951,24056.87398,1066.717526,32810.63953,0.017559339,24056.87398,0.017559339,32810.63953,0.079453125
Dorsal peduncular area,1305.110392,0,5883.768907,0,1536.267013,0,13630.74537,0,22355.89168,0,13630.74537,0,53405.91784,0.323671875
"Dorsal peduncular area, layer 1",174.4012315,101.2116557,936.0774792,0,2105.896267,736.0336225,9092.055922,460.024067,12308.4309,0,9092.055922,0,12308.4309,0.0941875
"Dorsal peduncular area, layer 2/3",1595.388854,0,4862.555299,0,1826.243509,211.4692228,17102.99046,438.3105954,25387.17812,496.2658984,17102.99046,496.2658984,62425.12345,0.10709375
"Dorsal peduncular area, layer 5",2369.891135,172.1165765,10253.49308,205.0863081,852.8064743,0,12304.88453,665.2435283,25781.07522,503.9658715,12304.88453,503.9658715,74746.16285,0.09178125
"Dorsal peduncular area, layer 6a",576.0772969,14.14542281,11578.6756,2136.844807,818.2594314,0,19423.78195,1853.617474,32396.79428,633.2927273,19423.78195,633.2927273,84322.41447,0.030609375
Piriform area,610.8780273,0,8068.971137,0,910.4094562,0,3317.455048,0,12907.71367,0,3317.455048,0,83663.06767,13.13217188
"Piriform area, molecular layer",124.4670402,0,621.9641337,73.93571884,259.5070813,132.9473579,7744.017335,1203.690207,8749.95559,1271.956951,7744.017335,1271.956951,24015.00724,4.79390625
"Piriform area, pyramidal layer",0.002908725,423.6403428,2840.521559,837.9923425,1629.338552,264.4115334,0.024025827,2296.754423,4469.887045,2979.207291,0.024025827,2979.207291,213402.2125,3.765625
"Piriform area, polymorph layer",1623.889035,428.2238736,20182.02318,3242.35565,1000.761535,205.5647159,1408.640396,2970.453459,24215.31414,1335.50353,1408.640396,1335.50353,39355.68069,4.572640625
Nucleus of the lateral olfactory tract,157.2489285,0,4296.524528,0,831.6170224,0,4609.803106,0,9895.193585,0,4609.803106,0,81563.60565,0.386328125
"Nucleus of the lateral olfactory tract, molecular layer",0,0,0,0,0,0,0,0,0,0,0,0,38936.42804,0.160671875
"Nucleus of the lateral olfactory tract, pyramidal layer",170.316257,34.52531084,4652.088547,875.3746193,1369.162423,193.723936,0,0,6191.567226,858.8114597,0,858.8114597,122376.9878,0.138015625
"Nucleus of the lateral olfactory tract, layer 3",424.9556535,112.1863623,11613.41965,2044.575009,1509.702121,115.1184294,20320.44603,1783.713648,33868.52346,662.1004125,20320.44603,662.1004125,95439.63746,0.087640625
Cortical amygdalar area,269.5893181,0,7025.829681,0,1886.89799,0,9544.794192,0,18727.11118,0,9544.794192,0,114690.8194,2.51296875
"Cortical amygdalar area, anterior part",68.63400542,0,8903.174791,0,559.9118738,0,2.49734E-12,0,9531.72067,0,2.49734E-12,0,83751.3099,0.523515625
"Cortical amygdalar area, anterior part, layer 1",0,0,0,0,0,0,0,0,0,0,0,0,50334.69084,0.237046875
"Cortical amygdalar area, anterior part, layer 2",125.4272037,5.183272676,16270.36497,4735.590446,1023.227192,147.3612533,4.56384E-12,2504.175693,17419.01937,1969.946829,4.56384E-12,1969.946829,111402.8605,0.28646875
"Cortical amygdalar area, posterior part",322.4698031,0,6531.814775,0,2236.088406,0,12056.46377,0,21146.83676,0,12056.46377,0,122832.4118,1.989453125
"Cortical amygdalar area, posterior part, lateral zone",385.7820937,0,6932.598507,0,1901.547141,0,10777.07833,0,19997.00607,0,10777.07833,0,104968.2215,1.03778125
"Cortical amygdalar area, posterior part, lateral zone, layer 1",63.22725903,0,2424.315103,198.0925784,222.7660182,49.17362062,5542.325818,257.7772636,8252.634198,161.3223457,5542.325818,161.3223457,37900.6634,0.28003125
"Cortical amygdalar area, posterior part, lateral zone, layer 2",397.0658449,8.652974366,9497.185684,4299.675822,2183.798451,589.1971568,7969.34417,4351.265024,20047.39415,391.8850913,7969.34417,391.8850913,137402.8362,0.332359375
"Cortical amygdalar area, posterior part, lateral zone, layer 3",589.3013251,182.2096913,7896.643368,771.3356812,2786.151279,935.1773355,16416.76787,756.9152211,27688.86384,541.259134,16416.76787,541.259134,123776.9667,0.425390625
"Cortical amygdalar area, posterior part, medial zone",253.4288766,0,6094.767244,0,2600.899705,0,13451.61084,0,22400.70667,0,13451.61084,0,142312.9936,0.951671875
"Cortical amygdalar area, posterior part, medial zone, layer 1",41.40324445,0,2494.888369,37.71120904,407.2348719,3.041266949,6610.308522,195.5220393,9553.835007,186.7582479,6610.308522,186.7582479,79221.33182,0.210140625
"Cortical amygdalar area, posterior part, medial zone, layer 2",198.485582,55.09789497,5865.649106,584.7833179,2220.744475,126.0247274,6792.422005,749.8982153,15077.30117,294.7308062,6792.422005,294.7308062,166526.802,0.23275
"Cortical amygdalar area, posterior part, medial zone, layer 3",366.1359597,125.9452396,7686.429757,647.2964641,3680.851509,1107.66693,19323.6074,1421.133653,31057.02462,607.1018958,19323.6074,607.1018958,157294.5939,0.50878125
Piriform-amygdalar area,595.4135856,0,3956.086254,0,1891.850406,0,642.3518895,0,7085.702135,0,642.3518895,0,79711.47951,0.62175
"Piriform-amygdalar area, molecular layer",76.20594551,0,1270.794872,324.4465481,269.3079403,88.82589609,359.6292856,287.5047384,1975.938043,67.75591222,359.6292856,67.75591222,23066.52109,0.237859375
"Piriform-amygdalar area, pyramidal layer",870.1168802,0,4349.207327,1040.132498,2965.896811,849.3156376,72.8043578,1155.032331,8258.025376,74.17276911,72.8043578,74.17276911,146149.1634,0.177203125
"Piriform-amygdalar area, polymorph layer",957.4099449,160.3975468,6709.322164,1334.350919,2838.267376,289.077747,1456.014178,2846.782429,11961.01366,2017.549228,1456.014178,2017.549228,87939.21078,0.2066875
Postpiriform transition area,502.8116104,0,4452.624044,0,2178.22747,0,9157.891823,0,16291.55495,0,9157.891823,0,111028.5577,1.098796875
"Postpiriform transition area, layers 1",77.01396918,10.12757646,1892.468044,49.78476087,864.438673,144.9770998,4535.618581,85.12579019,7369.539267,144.0593727,4535.618581,144.0593727,28550.00051,0.3895625
"Postpiriform transition area, layers 2",499.9956732,38.17062746,5121.222429,0,3513.36133,139.7333039,12577.34171,223.9816759,21711.92114,424.4228358,12577.34171,424.4228358,150400.7565,0.250671875
"Postpiriform transition area, layers 3",866.0787112,85.91561966,6262.065419,2003.964532,2564.483085,454.628075,11215.41812,1110.422567,20908.04534,408.7079096,11215.41812,408.7079096,159573.8487,0.4585625
Hippocampal formation,1495.607809,0,4005.530714,0,1066.013487,0,5256.779054,0,11823.93106,0,5256.779054,0,119463.4178,41.04695313
Hippocampal region,1008.939378,0,1811.614768,0,597.6650361,0,2102.828216,0,5521.047399,0,2102.828216,0,153701.771,20.80910938
Ammon's horn,1245.312866,0,2064.272889,0,700.3341439,0,2042.003834,0,6051.923733,0,2042.003834,0,125292.2333,14.50376563
Field CA1,1163.475563,0,1722.147027,0,906.4557149,0,2031.296151,0,5823.374456,0,2031.296151,0,96289.70977,8.58309375
"Field CA1, stratum lacunosum-moleculare",22.85832886,0,122.2882438,40.18417676,752.9344095,0,5226.395429,658.8811611,6124.476411,691.8400807,5226.395429,691.8400807,8612.663279,2.33465625
"Field CA1, stratum oriens",1879.727992,10.92548121,4938.518775,180.011896,430.8969121,0.149120043,0,0,7249.143679,0.629181288,0,0.629181288,53154.58419,1.504140625
"Field CA1, pyramidal layer",3416.931878,459.06734,3020.416816,816.6711044,1812.080588,360.9196113,93.52683191,836.1410366,8342.956113,669.2986073,93.52683191,669.2986073,314086.9607,1.91796875
"Field CA1, stratum radiatum",195.2744587,29.11332991,450.9584653,0,671.7931467,65.91097467,1788.039738,0,3106.065809,0,1788.039738,0,43871.42878,2.826328125
Field CA2,1315.775525,0,1797.896255,0,597.0350499,0,12079.21518,0,15789.92201,0,12079.21518,0,117827.1396,0.61471875
"Field CA2, stratum lacunosum-moleculare",100.7244154,0,332.8177257,30.98976559,296.0051611,19.14351738,8588.154939,124.1597919,9317.702241,132.5487699,8588.154939,132.5487699,9450.209169,0.151734375
"Field CA2, stratum oriens",2146.492497,4.398683667,3878.351559,1501.863433,398.3372361,57.38439307,13145.6868,2198.244488,19568.86809,402.3796633,13145.6868,402.3796633,48334.33867,0.142796875
"Field CA2, pyramidal layer",3146.50219,412.8614029,2779.199565,390.050999,1263.456235,63.46641998,18491.33922,478.2958973,25680.49721,502.0025928,18491.33922,502.0025928,476439.7029,0.112640625
"Field CA2, stratum radiatum",638.9502905,17.22588222,905.01671,57.4655907,592.139337,180.0092854,10417.70796,364.9010942,12553.8143,245.4018545,10417.70796,245.4018545,50244.89993,0.207546875
Field CA3,1369.532305,0,2648.568488,0,378.8724127,0,896.4684676,0,5293.441673,0,896.4684676,0,173072.586,5.305953125
"Field CA3, stratum lacunosum-moleculare",63.24421197,2.62015775,155.9774005,0,141.7976968,12.20219553,4580.073005,0,4941.092314,0,4580.073005,0,10118.46577,0.071359375
"Field CA3, stratum lucidum",770.9954638,33.2336315,2542.618559,428.5204339,487.8609741,13.38085599,0,5022.702248,3801.474997,5030.159417,0,5030.159417,165488.0087,0.3579375
"Field CA3, stratum oriens",1451.415154,13.75955205,2907.578306,301.7047693,213.539924,6.672872991,238.3417699,348.8361285,4810.875154,0,238.3417699,0,49767.15907,1.708703125
"Field CA3, pyramidal layer",2236.641092,271.0723219,3579.711182,1215.883659,527.0851732,36.43022139,316.1852421,2432.961936,6659.622689,3121.286808,316.1852421,3121.286808,460207.7124,1.593671875
"Field CA3, stratum radiatum",598.16716,67.42689545,1561.905217,0,394.2496158,3.710414974,2235.075636,0,4789.397628,0,2235.075636,0,25345.68001,1.57428125
Dentate gyrus,454.7806937,0,1206.49191,0,330.2071473,0,1706.279344,0,3697.759094,0,1706.279344,0,220534.8586,6.197171875
"Dentate gyrus, molecular layer",97.33161804,0,273.4053229,0,100.466421,0,1858.574277,0,2329.777639,0,1858.574277,0,58377.52103,4.02921875
"Dentate gyrus, polymorph layer",705.146912,0,6268.178967,158.1891193,891.8520349,0,4.00803E-12,672.7198936,7865.177914,875.887,4.00803E-12,875.887,227650.2877,0.737484375
"Dentate gyrus, granule cell layer",1332.534467,279.1562135,1225.153523,0,687.7621884,14.60977527,2156.988076,0,5402.438254,0,2156.988076,0,673617.0161,1.43046875
Fasciola cinerea,1283.020809,0,2510.211603,1890.8771,1124.28219,110.2270072,40860.75269,1970.560902,45778.26729,894.870854,40860.75269,894.870854,149426.5327,0.070703125
Induseum griseum,649.5075997,84.31199619,2776.771452,2070.992599,4098.191502,578.5762278,18099.03104,2360.264309,25623.50159,500.8905225,18099.03104,500.8905225,104898.9096,0.03746875
Retrohippocampal region,1996.013719,0,6261.375626,0,1547.582287,0,8499.758333,0,18304.72996,0,8499.758333,0,84258.5983,20.23784375
Entorhinal area,1321.61888,0,6356.99885,0,1419.595916,0,4964.282173,0,14062.49582,0,4964.282173,0,80393.64556,11.88135938
"Entorhinal area, lateral part",1100.705955,0,5928.370585,0,1393.412138,0,5593.58611,0,14016.07479,0,5593.58611,0,74746.6999,8.57578125
"Entorhinal area, lateral part, layer 1",63.12919154,106.9684345,774.4681629,31.7344231,369.7317258,165.2573881,5599.382463,309.0431165,6806.711543,243.1545168,5599.382463,243.1545168,25844.67781,1.722421875
"Entorhinal area, lateral part, layer 2",635.5856076,241.9185404,4298.770525,1191.918961,2739.228475,66.01997442,4116.673609,1131.094208,11790.25822,421.1816009,4116.673609,421.1816009,165787.9543,0.063875
"Entorhinal area, lateral part, layer 2/3",1820.398153,278.7046597,4130.903687,2.99552287,1896.497416,168.2289337,8025.606776,561.3784619,15873.40603,567.0422652,8025.606776,567.0422652,155839.456,0.16978125
"Entorhinal area, lateral part, layer 2a",540.535761,65.88464929,3785.08796,476.6212266,2128.636228,151.1662579,7195.862185,648.8638068,13650.12213,0,7195.862185,0,105000.9501,0.922125
"Entorhinal area, lateral part, layer 2b",949.8173381,92.38814436,5602.700053,268.0283743,2758.424621,0,14028.18214,1637.244853,23339.12415,1410.099732,14028.18214,1410.099732,115540.2619,0.977421875
"Entorhinal area, lateral part, layer 3",1757.179348,3.860200315,6597.160042,129.7551254,1736.91506,129.8489953,5574.952315,539.5929854,15666.20676,559.6399824,5574.952315,559.6399824,75593.20478,1.344484375
"Entorhinal area, lateral part, layer 4",1734.350881,52.27441023,7908.219824,1397.59678,1230.315943,41.89677243,1388.735522,1615.335033,12261.62217,450.6757663,1388.735522,450.6757663,48437.50988,0.55940625
"Entorhinal area, lateral part, layer 4/5",1206.174933,21.82134993,6006.358077,501.4157504,866.801093,56.9678333,5576.009462,742.2086608,13655.34356,487.8068231,5576.009462,487.8068231,71405.70656,0.209078125
"Entorhinal area, lateral part, layer 5",1839.479498,55.63740449,9805.661675,1630.57458,1179.289551,73.87629557,1305.97127,1666.870092,14130.40199,541.1479911,1305.97127,541.1479911,59445.30304,1.298484375
"Entorhinal area, lateral part, layer 6a",1207.890343,220.0217153,9384.87053,286.4331836,1085.633941,31.88852404,4184.555557,706.2833826,15862.95037,566.6681029,4184.555557,566.6681029,97135.00874,1.162546875
"Entorhinal area, lateral part, layer 6b",1207.891404,0,9384.846433,911.6922015,1085.635188,0,2420.252065,1147.159462,14098.62509,503.6420998,2420.252065,503.6420998,108922.5245,0.14615625
"Entorhinal area, medial part, dorsal zone",2020.709583,0,7484.016169,0,1375.975958,0,3236.193368,0,14116.89508,0,3236.193368,0,89429.09946,3.086546875
"Entorhinal area, medial part, dorsal zone, layer 1",396.3651235,2123.964984,1547.337324,469.6772128,582.7542079,64.58135644,7703.074895,2040.309465,10229.53155,365.4281852,7703.074895,365.4281852,37830.11432,0.847859375
"Entorhinal area, medial part, dorsal zone, layer 2",2875.745736,330.0282675,7318.18902,2536.808306,1997.955094,415.7094473,2607.082384,2620.304044,14798.97223,528.6621396,2607.082384,528.6621396,125601.1727,0.86771875
"Entorhinal area, medial part, dorsal zone, layer 2a",71.93291902,21.05170052,9600.695186,1618.432909,1412.567607,0,0,276.4356364,11085.19571,1807.787678,0,1807.787678,125759.5308,0.016515625
"Entorhinal area, medial part, dorsal zone, layer 2b",65.45769917,11.97920963,12578.789,2408.05963,2194.313307,522.3281329,1.097336336,506.0364815,14839.65735,2992.66984,1.097336336,2992.66984,124765.1323,0.0135
"Entorhinal area, medial part, dorsal zone, layer 3",3366.05961,218.3890297,10206.78978,3487.926931,1738.277358,191.4197754,0,3009.444897,15311.12675,341.6205863,0,341.6205863,114730.6269,0.69375
"Entorhinal area, medial part, dorsal zone, layer 4",3026.916687,284.110524,15070.04245,2190.555921,1113.956452,80.72483281,0,520.0648041,19210.91559,1639.042986,0,1639.042986,50945.33121,0.096515625
"Entorhinal area, medial part, dorsal zone, layer 5",2130.212025,195.2393466,15890.4816,2820.481162,1245.303185,35.49970091,0,1805.288503,19265.99681,1539.40906,0,1539.40906,74184.17334,0.202609375
"Entorhinal area, medial part, dorsal zone, layer 6",989.9881895,0,9636.69228,1447.857558,1150.749392,44.10022516,3434.025563,1931.466174,15211.45542,543.396439,3434.025563,543.396439,90964.8354,0.348078125
"Entorhinal area, medial part, ventral zone",119.6200612,0,7257.466061,0,3059.459625,0,4676.899432,0,15113.44518,0,4676.899432,0,174163.9119,0.21903125
"Entorhinal area, medial part, ventral zone, layer 1",60.46938224,10.63189742,3380.447033,798.3034207,1787.816589,186.6752537,2400.233849,832.5591334,7628.966854,272.528666,2400.233849,272.528666,96298.31235,0.105765625
"Entorhinal area, medial part, ventral zone, layer 2",178.7983635,42.34550538,9357.780621,790.3060177,4352.924833,62.98746575,9202.014053,1280.349509,23091.51787,824.8890086,9202.014053,824.8890086,254914.5113,0.083734375
"Entorhinal area, medial part, ventral zone, layer 3",164.3701295,41.02319544,15727.98281,2664.437813,4078.048728,0,4.10375E-12,1083.624798,19970.40167,1767.151744,4.10375E-12,1767.151744,227718.7457,0.027703125
"Entorhinal area, medial part, ventral zone, layer 5/6",153.0606858,0,6998.747027,410.6379809,1949.315918,574.4903376,0,0,9101.123631,325.1191242,0,325.1191242,168839.6491,0.001828125
Parasubiculum,3559.037486,0,6379.740989,0,2222.883338,0,17863.74272,0,30025.40454,0,17863.74272,0,93559.66065,1.0478125
"Parasubiculum, layer 1",2829.576578,30.51978018,0,0,256.3745139,0,24550.1116,763.7612873,27636.06269,758.2876178,24550.1116,758.2876178,32476.43065,0.189296875
"Parasubiculum, layer 2",3953.949514,551.2851978,4719.392325,934.1121742,3160.589117,40.73331469,19895.94997,1048.159199,31729.88093,620.2375814,19895.94997,620.2375814,126801.6676,0.5641875
"Parasubiculum, layer 3",3271.19629,24.1145961,13665.53128,472.7614529,1690.185675,249.0950511,9667.941989,746.565273,28294.85523,553.1010581,9667.941989,553.1010581,69124.82201,0.294328125
Postsubiculum,2354.128971,0,4215.333992,0,2769.785927,0,18092.71745,0,27431.96634,0,18092.71745,0,108690.0521,0.80628125
"Postsubiculum, layer 1",797.6354743,54.61062115,2826.513354,4.011261825,1172.243058,2.646821414,24501.16006,589.1340169,29297.55195,572.7120076,24501.16006,572.7120076,56294.24755,0.216765625
"Postsubiculum, layer 2",853.7678143,178.1224863,1745.791625,1409.578956,3276.812023,750.6080027,19378.4215,931.4767433,25254.79296,493.6845625,19378.4215,493.6845625,162393.3495,0.314421875
"Postsubiculum, layer 3",5295.455895,920.6898602,8132.277635,194.6220546,3449.089918,545.0134759,11573.54519,708.7566248,28450.36863,556.1521494,11573.54519,556.1521494,88595.51297,0.27509375
Presubiculum,3663.762075,0,5582.983397,0,2140.885802,0,15776.31725,0,27163.94852,0,15776.31725,0,107032.3884,1.2428125
"Presubiculum, layer 1",1795.330126,19.36433702,2754.876785,29.13947164,430.0775939,0,14100.25044,366.741487,19080.53494,372.9859725,14100.25044,372.9859725,62451.72291,0.317984375
"Presubiculum, layer 2",3761.495132,729.3366364,4241.975306,543.6205906,3221.029061,1026.319933,18161.31826,1325.249365,29385.81776,574.4346514,18161.31826,574.4346514,156804.8118,0.571375
"Presubiculum, layer 3",5186.707842,1011.833353,10295.09964,91.11315048,1933.909059,142.0683163,13428.71628,787.4684643,30844.43282,602.9465581,13428.71628,602.9465581,66679.75773,0.353453125
Subiculum,2759.103722,0,6495.73677,0,1374.613716,0,11430.89485,0,22060.34905,0,11430.89485,0,82009.92918,5.259578125
"Subiculum, dorsal part",3866.737416,0,3787.096889,0,1144.822248,0,10349.66178,0,19148.31833,0,10349.66178,0,68258.94989,1.4259375
"Subiculum, dorsal part, molecular layer",147.0399272,195.2919625,322.0220807,204.7012429,614.8137391,0,10232.34166,268.7580414,11316.21741,221.2091843,10232.34166,221.2091843,17380.38359,0.231265625
"Subiculum, dorsal part, pyramidal layer",5844.565212,1240.135169,5542.777683,193.81832,1109.977126,374.9675403,9629.024319,913.6309238,22126.34434,432.5247666,9629.024319,432.5247666,95370.86875,0.920765625
"Subiculum, dorsal part, stratum radiatum",358.6842698,606.8751937,810.830986,60.17129476,1709.456826,210.6010998,12871.21909,608.2879983,15750.19117,351.2225287,12871.21909,351.2225287,20077.28381,0.27390625
"Subiculum, ventral part",2347.115073,0,7503.22588,0,1460.085544,0,11833.06368,0,23143.49018,0,11833.06368,0,87124.65926,3.833640625
"Subiculum, ventral part, molecular layer",48.50404312,15.34895947,776.1382457,962.862348,1025.732637,92.74186033,9337.25499,936.4833818,11187.62992,0.005736321,9337.25499,0.005736321,11187.62992,0.788609375
"Subiculum, ventral part, pyramidal layer",3469.699803,467.78264,10509.08532,24.96883537,1434.562163,437.3709439,12656.37783,809.0215584,28069.72511,517.9143097,12656.37783,517.9143097,119056.2118,2.557203125
"Subiculum, ventral part, stratum radiatum",178.3779361,28.07425715,2621.283531,1428.361838,2296.042354,145.8573921,11551.89216,878.7152421,16647.59598,338.7270903,11551.89216,338.7270903,42496.61993,0.487828125
Cortical subplate,793.7509921,0,8664.829429,0,1127.472095,0,20043.51336,0,30629.56587,0,20043.51336,0,69929.99822,7.23840625
Claustrum,906.0518188,142.313631,5261.313311,29.45517126,882.4610112,193.9785335,22009.5815,606.9019723,29059.40764,568.0528954,22009.5815,568.0528954,62387.20744,0.98003125
Endopiriform nucleus,588.9570984,0,8533.17004,0,416.4006386,0,21751.9844,0,31290.51218,0,21751.9844,0,38310.75353,2.691390625
"Endopiriform nucleus, dorsal part",647.1276943,37.77972187,8167.559311,103.8870854,377.9217389,0,23287.23666,757.6690707,32479.84541,832.1448699,23287.23666,832.1448699,41250.06823,2.154359375
"Endopiriform nucleus, ventral part",355.5994144,44.82382503,9999.85732,71.34855837,570.7629375,0,15593.15268,0,26519.37235,0,15593.15268,0,26519.37235,0.53703125
Lateral amygdalar nucleus,738.886102,43.5195037,13344.40311,2719.749708,1587.885016,230.3025825,8596.039928,3620.691223,24267.21415,489.7761053,8596.039928,489.7761053,98839.16857,0.612328125
Basolateral amygdalar nucleus,1234.314334,0,6103.781099,0,1945.863768,0,20358.23807,0,29642.19727,0,20358.23807,0,77920.55759,1.5061875
"Basolateral amygdalar nucleus, anterior part",1174.649719,85.38130082,5641.884309,461.9088905,1849.954325,0,21868.91923,634.9545248,30535.40758,596.899725,21868.91923,596.899725,83722.07784,0.7998125
"Basolateral amygdalar nucleus, posterior part",1698.275145,315.8182698,6274.673063,1544.124906,2412.383023,277.7841225,15624.07202,1111.777374,26009.40325,508.4297725,15624.07202,508.4297725,86539.80285,0.45684375
"Basolateral amygdalar nucleus, ventral part",576.1318719,0,7271.410004,0,1399.171381,0,24183.46036,695.2163436,33430.17362,718.7382297,24183.46036,718.7382297,43544.99645,0.24953125
Basomedial amygdalar nucleus,466.41643,0,11448.72426,0,1111.32654,0,18153.5577,0,31180.02493,0,18153.5577,0,83442.01979,1.135125
"Basomedial amygdalar nucleus, anterior part",105.3800993,0,16562.90494,1830.667177,265.5424813,26.08252783,14172.90457,1552.973093,31106.7321,608.0751024,14172.90457,608.0751024,66958.41305,0.311515625
"Basomedial amygdalar nucleus, posterior part",602.9720128,96.24703833,9514.376207,0,1431.229346,325.4628354,19659.16908,573.3050035,31207.74665,610.0622934,19659.16908,610.0622934,89676.65142,0.823609375
Posterior amygdalar nucleus,1376.855038,221.2092991,13521.52367,97.00129449,3226.258823,0,26923.94498,899.4524303,45048.58251,880.6074988,26923.94498,880.6074988,221255.4903,0.31334375
Cerebral nuclei,638.7481443,0,6038.338938,0,61.38820499,0,24940.29185,0,31678.76714,0,24940.29185,0,38288.71605,51.4751875
Striatum,407.760785,0,5858.483603,0,65.55148141,0,27179.44016,0,33511.23603,0,27179.44016,0,41158.01026,41.83485938
Striatum dorsal region,462.609021,0,2525.657544,0,22.74910754,0,29710.67802,0,32721.69369,0,29710.67802,0,32721.70418,24.55521875
Caudoputamen,462.609021,42.93207409,2525.657544,21.82118797,22.74910754,2.040363271,29710.67802,31.49924168,32721.69369,0,29710.67802,0,32721.70418,24.55521875
Striatum ventral region,404.8727323,0,5354.062266,0,88.90425347,0,25432.4341,0,31280.27335,0,25432.4341,0,46937.91451,9.54678125
