Brain region,PV [mm^-3],std PV [mm^-3],SST [mm^-3],std SST [mm^-3],VIP [mm^-3],std VIP [mm^-3],Rest inh. [mm^-3],std Rest inh. [mm^-3],GAD67 [mm^-3],std GAD67 [mm^-3],Non inh. [mm^-3],std Non inh. [mm^-3],Neuron [mm^-3],Volumes [mm^3]
"Prelimbic area, layer 2/3",5121.728181,751.375506,3643.022866,357.3512044,2590.79705,70.75106222,11884.45086,2868.556577,23239.99896,2622.767543,11884.45086,2622.767543,87986.08455,0.441484375
"Prelimbic area, layer 5",5993.379189,1121.509849,6500.244224,390.8374607,930.4742065,0,2863.897314,1060.240967,16287.99493,0,2863.897314,0,77682.39331,0.4485625
"Prelimbic area, layer 6a",4166.402684,472.3135393,6539.306039,660.2576717,926.9997847,112.5248468,3867.270681,799.2532167,15499.97919,362.7267573,3867.270681,362.7267573,64122.20795,0.26384375
"Prelimbic area, layer 6b",4166.226422,794.2883907,6539.283792,0,927.0083814,79.53077252,3866.972259,395.8730784,15499.49086,1821.750109,3866.972259,1821.750109,77639.90837,0.018921875
Infralimbic area,4142.034781,0,5648.622142,0,1613.179293,0,10508.21012,0,21912.04634,0,10508.21012,0,81514.4767,1.79346875
"Infralimbic area, layer 1",67.70544396,0,582.7888372,0,2007.770073,0,38745.19061,0,41403.45496,0,38745.19061,0,41403.45496,0.285484375
"Infralimbic area, layer 2",1263.303073,717.0599097,5115.598083,175.1420717,2390.995648,382.2290146,5462.515599,832.9969703,14232.4124,508.4217768,5462.515599,508.4217768,68372.42752,0.071671875
"Infralimbic area, layer 2/3",5386.671419,912.6049044,4700.123887,661.7447706,2554.058919,0,10599.13559,1067.142413,23239.98981,76.57502543,10599.13559,76.57502543,95411.43874,0.493484375
"Infralimbic area, layer 5",5920.391312,349.6639372,8277.22252,915.852129,969.0088986,3.009925061,1121.357388,690.3537362,16287.98012,446.4515556,1121.357388,446.4515556,89511.21716,0.47725
"Infralimbic area, layer 6a",3941.321098,855.7946686,7147.811963,428.9442286,914.5300239,3.776446635,3496.335278,945.9347938,15499.99836,0,3496.335278,0,84010.11788,0.3928125
"Infralimbic area, layer 6b",3941.320757,563.6630018,7147.793292,860.5229263,914.5256906,48.22851227,3496.312948,1322.047438,15499.95269,899.8055222,3496.312948,899.8055222,91660.58913,0.072765625
Orbital area,3796.105779,0,4979.018579,0,1894.593152,0,6622.459128,0,17292.17664,0,6622.459128,0,61974.17629,4.4335
"Orbital area, lateral part",4630.418136,0,4501.948175,0,1693.8024,0,4665.028579,0,15491.19729,0,4665.028579,0,52626.2369,1.857625
"Orbital area, lateral part, layer 1",2537.09636,61.61297193,1629.612576,209.3347022,3059.971074,20.63418532,18233.3184,309.7675555,25459.99841,0,18233.3184,0,25459.99841,0.347734375
"Orbital area, lateral part, layer 2/3",5527.369256,418.4871293,4281.153718,0,2062.498258,66.33079634,2068.976963,591.6806102,13939.99819,512.069495,2068.976963,512.069495,69403.93972,0.738546875
